,Unnamed: 0,Problem Name,Unnamed: 2,Online Judge,Contest,Difficulty Level
0,1,Tetrahedron,Categories,Codeforces,Codeforces Round #113 (Div. 2),1
1,2,Sereja and Brackets,Categories,Codeforces,Codeforces Round #223 (Div. 1) & Codeforces Round #223 (Div. 2),3
2,3,New Reform,Categories,Codeforces,Codeforces Round #346 (Div. 2),3
3,4,Paths and Trees,Categories,Codeforces,Codeforces Round #303 (Div. 2),4
4,5,Connecting Universities,Categories,Codeforces,Codeforces Round #364 (Div. 1) & Codeforces Round #364 (Div. 2),4
5,6,Pashmak and Graph,Categories,Codeforces,Codeforces Round #261 (Div. 2),4
6,7,Correct Bracket Sequence Editor,Categories,Codeforces,Codeforces Round #350 (Div. 2),4
7,8,XOR and Favorite Number,Categories,Codeforces,Codeforces Round #340 (Div. 2),4
8,9,Ciel the Commander,Categories,Codeforces,Codeforces Round #190 (Div. 1) & Codeforces Round #190 (Div. 2),4
9,10,Civilization,Categories,Codeforces,Codeforces Round #260 (Div. 1) & Codeforces Round #260 (Div. 2),4
10,11,Riding in a Lift,Categories,Codeforces,Codeforces Round #274 (Div. 2) & Codeforces Round #274 (Div. 1),4
11,12,Enemy is weak,Categories,Codeforces,Codeforces Beta Round #57 (Div. 2),4
12,13,Xenia and Tree,Categories,Codeforces,Codeforces Round #199 (Div. 2),4
13,14,Weakness and Poorness,Categories,Codeforces,Codeforces Round #320 (Div. 1) [Bayan Thanks-Round] & Codeforces Round #320 (Div. 2) [Bayan Thanks-Round],4
14,15,Propagating tree,Categories,Codeforces,Codeforces Round #225 (Div. 1) & Codeforces Round #225 (Div. 2),4
15,16,Fools and Roads,Categories,Codeforces,Codeforces Round #121 (Div. 1) & Codeforces Round #121 (Div. 2),4
16,17,Gerald and Giant Chess,Categories,Codeforces,Codeforces Round #313 (Div. 1) & Codeforces Round #313 (Div. 2),4
17,18,Squares and not squares,Categories,Codeforces,Codeforces Round #451 (Div. 2),4
18,19,XOR on Segment,Categories,Codeforces,Codeforces Round #149 (Div. 2),4
19,20,The Values You Can Make,Categories,Codeforces,Codeforces Round #360 (Div. 1) & Codeforces Round #360 (Div. 2),4
20,21,Fire,Categories,Codeforces,Codeforces Round #436 (Div. 2),4
21,22,A and B and Lecture Rooms,Categories,Codeforces,Codeforces Round #294 (Div. 2),4
22,23,A Simple Task,Categories,Codeforces,Codeforces Round #312 (Div. 2),5
23,24,Logo Turtle,Categories,Codeforces,Codeforces Beta Round #96 (Div. 1) & Codeforces Beta Round #96 (Div. 2),5
24,25,Pillars,Categories,Codeforces,Codeforces Round #271 (Div. 2),5
25,26,Exposition,Categories,Codeforces,Codeforces Beta Round #6 (Div. 2 Only),5
26,27,Polo the Penguin and XOR operation,Categories,Codeforces,Codeforces Round #177 (Div. 1) & Codeforces Round #177 (Div. 2),5
27,28,Fox and Card Game,Categories,Codeforces,Codeforces Round #228 (Div. 1) & Codeforces Round #228 (Div. 2),5
28,29,Wet Shark and Blocks,Categories,Codeforces,Codeforces Round #341 (Div. 2),5
29,30,Subsegments,Categories,Codeforces,Codeforces Beta Round #63 (Div. 2),5
30,31,Bitwise Formula,Categories,Codeforces,Codeforces Round #402 (Div. 1) & Codeforces Round #402 (Div. 2),5
31,32,Duff in the Army,Categories,Codeforces,Codeforces Round #326 (Div. 1) & Codeforces Round #326 (Div. 2),5
32,33,Choosing Balls,Categories,Codeforces,Codeforces Round #162 (Div. 1) & Codeforces Round #162 (Div. 2),5
33,34,Read Time,Categories,Codeforces,Codeforces Round #200 (Div. 1) & Codeforces Round #200 (Div. 2),5
34,35,Porcelain,Categories,Codeforces,Codeforces Round #105 (Div. 2),5
35,36,Sasha and Array,Categories,Codeforces,Codeforces Round #373 (Div. 1) & Codeforces Round #373 (Div. 2),5
36,37,Cards Sorting,Categories,Codeforces,"Codeforces Round #424 (Div. 1, rated, based on VK Cup Finals) & Codeforces Round #424 (Div. 2, rated, based on VK Cup Finals)",5
37,38,Breaking Good,Categories,Codeforces,Codeforces Round #287 (Div. 2),5
38,39,Hanoi Factory,Categories,Codeforces,Codeforces Round #401 (Div. 2),5
39,40,Kalila and Dimna in the Logging Industry,Categories,Codeforces,Codeforces Round #189 (Div. 1) & Codeforces Round #189 (Div. 2),5
40,41,Mashmokh and Reverse Operation,Categories,Codeforces,Codeforces Round #240 (Div. 1) & Codeforces Round #240 (Div. 2),5
41,42,Case of Chocolate,Categories,Codeforces,Codeforces Round #310 (Div. 1) & Codeforces Round #310 (Div. 2),5
42,43,Games with Rectangle,Categories,Codeforces,Codeforces Beta Round #94 (Div. 1 Only) & Codeforces Beta Round #94 (Div. 2 Only),5
43,44,Iahub and Permutations,Categories,Codeforces,Codeforces Round #198 (Div. 2) & Codeforces Round #198 (Div. 1),5
44,45,Little Artem and Time Machine,Categories,Codeforces,VK Cup 2016 - Round 2,5
45,46,Maximize!,Categories,Codeforces,Codeforces Round #464 (Div. 2),5
46,47,Points on Plane,Categories,Codeforces,Codeforces Round #319 (Div. 1) & Codeforces Round #319 (Div. 2),5
47,48,Compatible Numbers,Categories,Codeforces,Codeforces Round #112 (Div. 2),5
48,49,Subordinates,Categories,Codeforces,Technocup 2017 - Elimination Round 2,5
49,50,Game of Stones,Categories,Codeforces,"Divide by Zero 2017 and Codeforces Round #399 (Div. 1 + Div. 2, combined)",5
50,51,Sausage Maximization,Categories,Codeforces,Codeforces Round #173 (Div. 2),5
51,52,Soldier and Traveling,Categories,Codeforces,Codeforces Round #304 (Div. 2),5
52,53,Comments,Categories,Codeforces,Codeforces Round #387 (Div. 2),5
53,54,Pretty Song,Categories,Codeforces,"Codeforces Round #289 (Div. 2, ACM ICPC Rules)",5
54,55,Number With The Given Amount Of Divisors,Categories,Codeforces,"Codeforces Beta Round #27 (Codeforces format, Div. 2)",5
55,56,Underground Lab,Categories,Codeforces,?????????? 2017 - ????? (?????? ??? ??????-??????????),5
56,57,Vasya and Beautiful Arrays,Categories,Codeforces,Codeforces Round #206 (Div. 1) & Codeforces Round #206 (Div. 2),5
57,58,Three States,Categories,Codeforces,Codeforces Round #327 (Div. 1) & Codeforces Round #327 (Div. 2),5
58,59,Anton and Tree,Categories,Codeforces,Codeforces Round #379 (Div. 2),5
59,60,Blood Cousins,Categories,Codeforces,Codeforces Round #130 (Div. 2),5
60,61,Array and Operations,Categories,Codeforces,Codeforces Round #284 (Div. 1) & Codeforces Round #284 (Div. 2),5
61,62,Number Transformation II,Categories,Codeforces,Codeforces Round #201 (Div. 1) & Codeforces Round #201 (Div. 2),6
62,63,The Great Mixing,Categories,Codeforces,Codeforces Round #407 (Div. 1) & Codeforces Round #407 (Div. 2),6
63,64,Martian Strings,Categories,Codeforces,Codeforces Round #106 (Div. 2),6
64,65,DNA Evolution,Categories,Codeforces,"Codeforces Round #423 (Div. 1, rated, based on VK Cup Finals) & Codeforces Round #423 (Div. 2, rated, based on VK Cup Finals)",6
65,66,Watching Fireworks is Fun,Categories,Codeforces,Codeforces Round #219 (Div. 1) & Codeforces Round #219 (Div. 2),6
66,67,Restoring Increasing Sequence,Categories,Codeforces,Codeforces Round #279 (Div. 2),6
67,68,Arthur and Brackets,Categories,Codeforces,Codeforces Round #288 (Div. 2),6
68,69,Lucky Permutation,Categories,Codeforces,Codeforces Beta Round #91 (Div. 1 Only) & Codeforces Beta Round #91 (Div. 2 Only),6
69,70,Divisors,Categories,Codeforces,Codeforces Round #256 (Div. 2),6
70,71,GukiZ and GukiZiana,Categories,Codeforces,Codeforces Round #307 (Div. 2),6
71,72,ZS and The Birthday Paradox,Categories,Codeforces,Codeforces Round #369 (Div. 2),6
72,73,Substitutes in Number,Categories,Codeforces,Codeforces Round #265 (Div. 1) & Codeforces Round #265 (Div. 2),6
73,74,Cipher,Categories,Codeforces,Codeforces Round #110 (Div. 1) & Codeforces Round #110 (Div. 2),6
74,75,Pig and Palindromes,Categories,Codeforces,Codeforces Round #316 (Div. 2),6
75,76,Tree Folding,Categories,Codeforces,Codeforces Round #397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),6
76,77,Vladik and cards,Categories,Codeforces,Codeforces Round #384 (Div. 2),6
77,78,Beautiful Decomposition,Categories,Codeforces,Codeforces Round #171 (Div. 2),6
78,79,On Changing Tree,Categories,Codeforces,Codeforces Round #232 (Div. 1) & Codeforces Round #232 (Div. 2),6
79,80,Distributing Parts,Categories,Codeforces,Codeforces Round #283 (Div. 2),6
80,81,Table Compression,Categories,Codeforces,Codeforces Round #345 (Div. 1) & Codeforces Round #345 (Div. 2),6
81,82,Drazil and Park,Categories,Codeforces,Codeforces Round #292 (Div. 2) & Codeforces Round #292 (Div. 1),6
82,83,Partial Sums,Categories,Codeforces,Codeforces Round #138 (Div. 1) & Codeforces Round #138 (Div. 2),6
83,84,Yet Another Task with Queens,Categories,Codeforces,Codeforces Beta Round #95 (Div. 2),6
84,85,Little Elephant and LCM,Categories,Codeforces,Codeforces Round #157 (Div. 1) & Codeforces Round #157 (Div. 2),6
85,86,Kefa and Watch,Categories,Codeforces,Codeforces Round #321 (Div. 2),6
86,87,Prefix Product Sequence,Categories,Codeforces,Codeforces Round #278 (Div. 2) & Codeforces Round #278 (Div. 1) & Codeforces Round #278 (Div. 2) & Codeforces Round #278 (Div. 1),6
87,88,Dasha and Puzzle,Categories,Codeforces,Codeforces Round #394 (Div. 2),6
88,89,Main Sequence,Categories,Codeforces,Codeforces Round #176 (Div. 1) & Codeforces Round #176 (Div. 2),6
89,90,Arpa’s overnight party and Mehrdad’s silent entering,Categories,Codeforces,Codeforces Round #383 (Div. 1) & Codeforces Round #383 (Div. 2),6
90,91,Anya and Cubes,Categories,Codeforces,Codeforces Round #297 (Div. 2),6
91,92,Test,Categories,Codeforces,Codeforces Beta Round #25 (Div. 2 Only),6
92,93,Strictly Positive Matrix,Categories,Codeforces,Codeforces Round #236 (Div. 2) & Codeforces Round #236 (Div. 1),6
93,94,Triangles,Categories,Codeforces,Codeforces Round #142 (Div. 1) & Codeforces Round #142 (Div. 2),6
94,95,Let's Go Rolling!,Categories,Codeforces,School Personal Contest #1 (Winter Computer School 2010/11) - Codeforces Beta Round #38 (ACM-ICPC Rules),6
95,96,Brackets in Implications,Categories,Codeforces,Codeforces Round #306 (Div. 2),6
96,97,Caisa and Tree,Categories,Codeforces,Codeforces Round #264 (Div. 2),6
97,98,Double Profiles,Categories,Codeforces,Codeforces Round #109 (Div. 1) & Codeforces Round #109 (Div. 2),6
98,99,Sockets,Categories,Codeforces,Codeforces Round #377 (Div. 2),6
99,100,Okabe and El Psy Kongroo,Categories,Codeforces,Codeforces Round #420 (Div. 2),6
100,101,Lieges of Legendre,Categories,Codeforces,Codeforces Round #334 (Div. 1) & Codeforces Round #334 (Div. 2),6
101,102,Infinite Inversions,Categories,Codeforces,Codeforces Round #301 (Div. 2),6
102,103,Trains and Statistic,Categories,Codeforces,Codeforces Round #353 (Div. 2),6
103,104,Ice cream coloring,Categories,Codeforces,Codeforces Round #411 (Div. 1) & Codeforces Round #411 (Div. 2),6
104,105,Decoding Genome,Categories,Codeforces,Codeforces Round #137 (Div. 2),6
105,106,Lucky Subsequence,Categories,Codeforces,Codeforces Round #104 (Div. 1) & Codeforces Round #104 (Div. 2),6
106,107,Sonya and Problem Wihtout a Legend,Categories,Codeforces,Codeforces Round #371 (Div. 1) & Codeforces Round #371 (Div. 2),6
107,108,PLEASE,Categories,Codeforces,Codeforces Round #362 (Div. 1) & Codeforces Round #362 (Div. 2),6
108,109,Little Pony and Summer Sun Celebration,Categories,Codeforces,Codeforces Round #259 (Div. 1) & Codeforces Round #259 (Div. 2),6
109,110,Flawed Flow,Categories,Codeforces,Codeforces Round #165 (Div. 1) & Codeforces Round #165 (Div. 2),6
110,111,Holes,Categories,Codeforces,Codeforces Beta Round #13,6
111,112,Time to Raid Cowavans,Categories,Codeforces,Codeforces Beta Round #80 (Div. 1 Only) & Codeforces Beta Round #80 (Div. 2 Only),6
112,113,The Holmes Children,Categories,Codeforces,"ICM Technex 2017 and Codeforces Round #400 (Div. 1 + Div. 2, combined)",6
113,114,The Road to Berland is Paved With Good Intentions,Categories,Codeforces,Codeforces Round #141 (Div. 2),6
114,115,DZY Loves Colors,Categories,Codeforces,Codeforces Round #254 (Div. 1) & Codeforces Round #254 (Div. 2),6
115,116,Police Patrol,Categories,Codeforces,Codeforces Round #244 (Div. 2),6
116,117,Bertown roads,Categories,Codeforces,Codeforces Beta Round #89 (Div. 2),6
117,118,Appleman and a Sheet of Paper,Categories,Codeforces,Codeforces Round #263 (Div. 1) & Codeforces Round #263 (Div. 2),6
118,119,Anton and Ira,Categories,Codeforces,Codeforces Round #324 (Div. 2),6
119,120,Mahmoud and a xor trip,Categories,Codeforces,Codeforces Round #396 (Div. 2),6
120,121,Greg and Friends,Categories,Codeforces,Codeforces Round #179 (Div. 1) & Codeforces Round #179 (Div. 2),6
121,122,Numbers Exchange,Categories,Codeforces,Codeforces Round #386 (Div. 2),6
122,123,Demiurges Play Again,Categories,Codeforces,Codeforces Round #300,6
123,124,Fox And Dinner,Categories,Codeforces,Codeforces Round #290 (Div. 2) & Codeforces Round #290 (Div. 1),6
124,125,Love Triangles,Categories,Codeforces,Codeforces Round #309 (Div. 1) & Codeforces Round #309 (Div. 2),6
125,126,Mike and Geometry Problem,Categories,Codeforces,Codeforces Round #361 (Div. 2),6
126,127,Compartments,Categories,Codeforces,Codeforces Round #207 (Div. 1) & Codeforces Round #207 (Div. 2),6
127,128,Devu and Flowers,Categories,Codeforces,Codeforces Round #258 (Div. 2),6
128,129,National Property,Categories,Codeforces,"Codeforces Round #441 (Div. 1, by Moscow Team Olympiad) & Codeforces Round #441 (Div. 2, by Moscow Team Olympiad)",6
129,130,Valera and Queries,Categories,Codeforces,Codeforces Round #216 (Div. 2),6
130,131,LIS of Sequence,Categories,Codeforces,Codeforces Round #277 (Div. 2),6
131,132,Relay Race,Categories,Codeforces,Codeforces Round #131 (Div. 1) & Codeforces Round #131 (Div. 2),6
132,133,Pluses everywhere,Categories,Codeforces,Codeforces Round #295 (Div. 2) & Codeforces Round #295 (Div. 1),6
133,134,Artem and Array,Categories,Codeforces,Codeforces Round #253 (Div. 1),6
134,135,Karen and Supermarket,Categories,Codeforces,Codeforces Round #419 (Div. 1) & Codeforces Round #419 (Div. 2),6
135,136,One-Way Reform,Categories,Codeforces,Codeforces Round #375 (Div. 2),6
136,137,Zero-One,Categories,Codeforces,Codeforces Beta Round #97 (Div. 1) & Codeforces Beta Round #97 (Div. 2),6
137,138,Dreamoon and Strings,Categories,Codeforces,Codeforces Round #272 (Div. 2) & Codeforces Round #272 (Div. 1),6
138,139,Vanya and Field,Categories,Codeforces,Codeforces Round #280 (Div. 2),6
139,140,Fish,Categories,Codeforces,Codeforces Beta Round #16 (Div. 2 Only),6
140,141,Interesting Game,Categories,Codeforces,Codeforces Beta Round #73 (Div. 1 Only) & Codeforces Beta Round #73 (Div. 2 Only),6
141,142,Sereja and Subsequences,Categories,Codeforces,Codeforces Round #187 (Div. 1) & Codeforces Round #187 (Div. 2),6
142,143,Jzzhu and Apples,Categories,Codeforces,Codeforces Round #257 (Div. 1) & Codeforces Round #257 (Div. 2),6
143,144,3-cycles,Categories,Codeforces,Codeforces Beta Round #40 (Div. 2),6
144,145,Vanya and Brackets,Categories,Codeforces,Codeforces Round #308 (Div. 2),6
145,146,Sereja and the Arrangement of Numbers,Categories,Codeforces,Codeforces Round #215 (Div. 1) & Codeforces Round #215 (Div. 2),6
146,147,Information Graph,Categories,Codeforces,Codeforces Round #266 (Div. 2),6
147,148,Santa Claus and Tangerines,Categories,Codeforces,Technocup 2017 - Elimination Round 3,6
148,149,New Year Domino,Categories,Codeforces,Good Bye 2014,6
149,150,Game on Tree,Categories,Codeforces,Codeforces Round #172 (Div. 1) & Codeforces Round #172 (Div. 2),6
150,151,Axis Walking,Categories,Codeforces,Codeforces Round #191 (Div. 2),7
151,152,Vulnerable Kerbals,Categories,Codeforces,VK Cup 2017 - Round 2,7
152,153,World Eater Brothers,Categories,Codeforces,Codeforces Round #148 (Div. 1) & Codeforces Round #148 (Div. 2),7
153,154,Levko and Strings,Categories,Codeforces,Codeforces Round #210 (Div. 1) & Codeforces Round #210 (Div. 2),7
154,155,Dima and Horses,Categories,Codeforces,Codeforces Round #167 (Div. 2) & Codeforces Round #167 (Div. 1),7
155,156,The Untended Antiquity,Categories,Codeforces,Codeforces Round #439 (Div. 2),7
156,157,Nikita and stack,Categories,Codeforces,8VC Venture Cup 2017 - Final Round,7
157,158,Paint Tree,Categories,Codeforces,Codeforces Round #124 (Div. 1) & Codeforces Round #124 (Div. 2),7
158,159,Number Transformation,Categories,Codeforces,Codeforces Round #153 (Div. 1) & Codeforces Round #153 (Div. 2),7
159,160,Cactus,Categories,Codeforces,Codeforces Round #143 (Div. 2),7
160,161,Little Elephant and Furik and Rubik,Categories,Codeforces,Codeforces Round #129 (Div. 1) & Codeforces Round #129 (Div. 2),7
161,162,Freelancer's Dreams,Categories,Codeforces,Codeforces Round #335 (Div. 1) & Codeforces Round #335 (Div. 2),7
162,163,Weak Memory,Categories,Codeforces,Codeforces Round #119 (Div. 1) & Codeforces Round #119 (Div. 2),7
163,164,Empire Strikes Back,Categories,Codeforces,Codeforces Round #181 (Div. 2),7
164,165,Arthur and Questions,Categories,Codeforces,Codeforces Round #293 (Div. 2),7
165,166,Fairy,Categories,Codeforces,Codeforces Beta Round #19,7
166,167,Devu and Birthday Celebration,Categories,Codeforces,Codeforces Round #251 (Div. 2),7
167,168,President's Path,Categories,Codeforces,Codeforces Round #241 (Div. 2),7
168,169,Remembering Strings,Categories,Codeforces,Codeforces Round #302 (Div. 1) & Codeforces Round #302 (Div. 2),7
169,170,Double Happiness,Categories,Codeforces,Codeforces Beta Round #86 (Div. 1 Only) & Codeforces Beta Round #86 (Div. 2 Only),7
170,171,The Last Fight Between Human and AI,Categories,Codeforces,Codeforces Round #354 (Div. 2),7
171,172,Till I Collapse,Categories,Codeforces,Codeforces Round #406 (Div. 1) & Codeforces Round #406 (Div. 2),7
172,173,Comb,Categories,Codeforces,School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round #43 (ACM-ICPC Rules),7
173,174,Ann and Half-Palindrome,Categories,Codeforces,Codeforces Round #311 (Div. 2),7
174,175,LRU,Categories,Codeforces,Codeforces Round #363 (Div. 1) & Codeforces Round #363 (Div. 2),7
175,176,Build String,Categories,Codeforces,Codeforces Round #147 (Div. 2),7
176,177,Bindian Signalizing,Categories,Codeforces,Codeforces Beta Round #5,7
177,178,George and Cards,Categories,Codeforces,Codeforces Round #227 (Div. 2),7
178,179,Subway Innovation,Categories,Codeforces,Codeforces Round #218 (Div. 2),7
179,180,Camels,Categories,Codeforces,Codeforces Beta Round #14 (Div. 2),7
180,181,Edo and Magnets,Categories,Codeforces,Codeforces Round #330 (Div. 1) & Codeforces Round #330 (Div. 2),7
181,182,Domino Principle,Categories,Codeforces,Codeforces Beta Round #52 (Div. 2),7
182,183,Necklace,Categories,Codeforces,Codeforces Round #339 (Div. 1) & Codeforces Round #339 (Div. 2),7
183,184,On the Bench,Categories,Codeforces,Codeforces Round #429 (Div. 1) & Codeforces Round #429 (Div. 2),7
184,185,Guess the Tree,Categories,Codeforces,Codeforces Round #245 (Div. 1) & Codeforces Round #245 (Div. 2),7
185,186,Garlands,Categories,Codeforces,Codeforces Round #368 (Div. 2),7
186,187,"Alice, Bob, Oranges and Apples",Categories,Codeforces,Codeforces Round #325 (Div. 1) & Codeforces Round #325 (Div. 2),7
187,188,Mushroom Gnomes - 2,Categories,Codeforces,Codeforces Beta Round #99 (Div. 1) & Codeforces Beta Round #99 (Div. 2),7
188,189,Short Code,Categories,Codeforces,"Codeforces Round #476 (Div. 2) [Thanks, Telegram!]",7
189,190,Splitting the Uniqueness,Categories,Codeforces,Codeforces Round #180 (Div. 1) & Codeforces Round #180 (Div. 2),7
190,191,Hongcow Buys a Deck of Cards,Categories,Codeforces,Codeforces Round #385 (Div. 1) & Codeforces Round #385 (Div. 2),7
191,192,Captains Mode,Categories,Codeforces,Codeforces Round #222 (Div. 1) & Codeforces Round #222 (Div. 2),7
192,193,Product Sum,Categories,Codeforces,Codeforces Round #344 (Div. 2),7
193,194,Petya and Spiders,Categories,Codeforces,Codeforces Beta Round #85 (Div. 1 Only) & Codeforces Beta Round #85 (Div. 2 Only),7
194,195,Darth Vader and Tree,Categories,Codeforces,Codeforces Round #291 (Div. 2),7
195,196,Ski Base,Categories,Codeforces,Codeforces Beta Round #75 (Div. 1 Only) & Codeforces Beta Round #75 (Div. 2 Only),7
196,197,Bear and Company,Categories,Codeforces,VK Cup 2017 - Round 1,7
197,198,Furlo and Rublo and Game,Categories,Codeforces,Codeforces Round #156 (Div. 2) & Codeforces Round #156 (Div. 1),7
198,199,Cyclical Quest,Categories,Codeforces,Codeforces Round #146 (Div. 1) & Codeforces Round #146 (Div. 2),7
199,200,"Points, Lines and Ready-made Titles",Categories,Codeforces,Technocup 2018 - Elimination Round 2,7
200,201,Hiking,Categories,Codeforces,Codeforces Round #277.5 (Div. 2),7
201,202,Hack it!,Categories,Codeforces,Codeforces Round #268 (Div. 1) & Codeforces Round #268 (Div. 2),7
202,203,Alyona and towers,Categories,Codeforces,Codeforces Round #381 (Div. 1) & Codeforces Round #381 (Div. 2),7
203,204,Hexagons,Categories,Codeforces,Codeforces Round #338 (Div. 2),7
204,205,Coin Troubles,Categories,Codeforces,Codeforces Round #174 (Div. 1) & Codeforces Round #174 (Div. 2),7
205,206,Data Center Drama,Categories,Codeforces,Codeforces Round #296 (Div. 2) & Codeforces Round #296 (Div. 1),7
206,207,Wrong Floyd,Categories,Codeforces,Codeforces Round #203 (Div. 2),7
207,208,Sagheer and Apple Tree,Categories,Codeforces,Codeforces Round #417 (Div. 2),7
208,209,Working routine,Categories,Codeforces,Codeforces Round #367 (Div. 2),7
209,210,Blood Cousins Return,Categories,Codeforces,Codeforces Round #151 (Div. 2),7
