,Unnamed: 0,Problem Name,Unnamed: 2,Online Judge,Contest,Difficulty Level
210,211,President and Roads,Categories,Codeforces,Codeforces Round #Pi (Div. 2),7
211,212,Funny Game,Categories,Codeforces,Codeforces Round #376 (Div. 2),7
212,213,Last Chance,Categories,Codeforces,Codeforces Beta Round #98 (Div. 2),7
213,214,Maxim and Matrix,Categories,Codeforces,Codeforces Round #160 (Div. 1) & Codeforces Round #160 (Div. 2),7
214,215,Wooden Fence,Categories,Codeforces,Codeforces Round #117 (Div. 2),7
215,216,Little Girl and Problem on Trees,Categories,Codeforces,Codeforces Round #169 (Div. 2),7
216,217,Famil Door and Roads,Categories,Codeforces,Codeforces Round #343 (Div. 2),7
217,218,Fragile Bridges,Categories,Codeforces,Codeforces Round #127 (Div. 1) & Codeforces Round #127 (Div. 2),7
218,219,Kleofáš and the n-thlon,Categories,Codeforces,Codeforces Round #333 (Div. 1) & Codeforces Round #333 (Div. 2),7
219,220,Curious Array,Categories,Codeforces,Codeforces Round #239 (Div. 1) & Codeforces Round #239 (Div. 2),7
220,221,Prairie Partition,Categories,Codeforces,VK Cup 2017 - Round 3,7
221,222,Little Elephant and Shifts,Categories,Codeforces,Codeforces Round #136 (Div. 1) & Codeforces Round #136 (Div. 2),7
222,223,Anton and Permutation,Categories,Codeforces,Codeforces Round #404 (Div. 2),7
223,224,Champions' League,Categories,Codeforces,"Codeforces Round #145 (Div. 2, ACM-ICPC Rules)",7
224,225,Bash Plays with Functions,Categories,Codeforces,"Codecraft-17 and Codeforces Round #391 (Div. 1 + Div. 2, combined)",7
225,226,Playlist,Categories,Codeforces,Codeforces Round #164 (Div. 2),7
226,227,Beavermuncher-0xFF,Categories,Codeforces,Codeforces Beta Round #69 (Div. 1 Only) & Codeforces Beta Round #69 (Div. 2 Only),7
227,228,Minimum Modular,Categories,Codeforces,Codeforces Round #183 (Div. 1) & Codeforces Round #183 (Div. 2),7
228,229,Inna and Binary Logic,Categories,Codeforces,Codeforces Round #234 (Div. 2),7
229,230,Subset Sums,Categories,Codeforces,Codeforces Round #202 (Div. 1) & Codeforces Round #202 (Div. 2),7
230,231,Graph Reconstruction,Categories,Codeforces,Codeforces Round #192 (Div. 1) & Codeforces Round #192 (Div. 2),7
231,232,Sereja and Two Sequences,Categories,Codeforces,Codeforces Round #243 (Div. 1) & Codeforces Round #243 (Div. 2),7
232,233,Bear and Square Grid,Categories,Codeforces,Codeforces Round #356 (Div. 1) & Codeforces Round #356 (Div. 2),7
233,234,Shortest Path,Categories,Codeforces,Codeforces Beta Round #55 (Div. 2),7
234,235,Cubes,Categories,Codeforces,"Codeforces Round #116 (Div. 2, ACM-ICPC Rules)",7
235,236,TV Game,Categories,Codeforces,"Codeforces Beta Round #31 (Div. 2, Codeforces format)",7
236,237,Graph Cutting,Categories,Codeforces,Codeforces Round #238 (Div. 2) & Codeforces Round #238 (Div. 1),7
237,238,Tavas and Pashmaks,Categories,Codeforces,Codeforces Round #299 (Div. 2) & Codeforces Round #299 (Div. 1),7
238,239,Levels and Regions,Categories,Codeforces,VK Cup 2016 - Round 3,7
239,240,Aquarium decoration,Categories,Codeforces,"Playrix Codescapes Cup (Codeforces Round #413, rated, Div. 1 + Div. 2)",7
240,241,Digit Tree,Categories,Codeforces,Codeforces Round #372 (Div. 1) & Codeforces Round #372 (Div. 2),7
241,242,Divisor Tree,Categories,Codeforces,Codeforces Round #196 (Div. 2) & Codeforces Round #196 (Div. 1),7
242,243,Bear and Drawing,Categories,Codeforces,Codeforces Round #318 [RussianCodeCup Thanks-Round] (Div. 1) & Codeforces Round #318 [RussianCodeCup Thanks-Round] (Div. 2),7
243,244,Army Creation,Categories,Codeforces,Educational Codeforces Round 22,7
244,245,Marbles,Categories,Codeforces,Codeforces Round #336 (Div. 1) & Codeforces Round #336 (Div. 2),7
245,246,Change-free,Categories,Codeforces,Codeforces Round #398 (Div. 2),7
246,247,Counter Attack,Categories,Codeforces,Codeforces Round #120 (Div. 2),7
247,248,Parade,Categories,Codeforces,Codeforces Beta Round #35 (Div. 2),8
248,249,Mishka and Divisors,Categories,Codeforces,Codeforces Round #365 (Div. 2),8
249,250,Plumber,Categories,Codeforces,Codeforces Beta Round #87 (Div. 1 Only) & Codeforces Beta Round #87 (Div. 2 Only),8
250,251,Vanya and Balloons,Categories,Codeforces,Codeforces Round #355 (Div. 2),8
251,252,Unsolvable,Categories,Codeforces,Codeforces Round #139 (Div. 2),8
252,253,Inversions After Shuffle,Categories,Codeforces,Codeforces Round #388 (Div. 2),8
253,254,Maze 1D,Categories,Codeforces,Codeforces Round #237 (Div. 2),8
254,255,Space Rescuers,Categories,Codeforces,Codeforces Beta Round #82 (Div. 2),8
255,256,Ilya and Two Numbers,Categories,Codeforces,Codeforces Round #186 (Div. 2),8
256,257,Mother of Dragons,Categories,Codeforces,Codeforces Round #428 (Div. 2),8
257,258,Antichain,Categories,Codeforces,Codeforces Round #205 (Div. 2),8
258,259,Find a car,Categories,Codeforces,Codeforces Round #415 (Div. 1) & Codeforces Round #415 (Div. 2),8
259,260,CNF 2,Categories,Codeforces,Codeforces Round #317 [AimFund Thanks-Round] (Div. 1) & Codeforces Round #317 [AimFund Thanks-Round] (Div. 2),8
260,261,Number Table,Categories,Codeforces,Codeforces Beta Round #39,8
261,262,Dima and Magic Guitar,Categories,Codeforces,Codeforces Round #214 (Div. 2),8
262,263,Game with Strings,Categories,Codeforces,Codeforces Round #275 (Div. 1) & Codeforces Round #275 (Div. 2),8
263,264,Greedy Change,Categories,Codeforces,Codeforces Beta Round #10,8
264,265,Sleep in Class,Categories,Codeforces,Codeforces Round #378 (Div. 2),8
265,266,New Year Garland,Categories,Codeforces,Codeforces Round #100,8
266,267,Nastya and King-Shamans,Categories,Codeforces,Codeforces Round #489 (Div. 2),8
267,268,An unavoidable detour for home,Categories,Codeforces,Codeforces Round #418 (Div. 2),8
268,269,Collisions,Categories,Codeforces,Codeforces Beta Round #34 (Div. 2),8
269,270,Tricky and Clever Password,Categories,Codeforces,Codeforces Beta Round #30 (Codeforces format),8
270,271,Three Horses,Categories,Codeforces,Codeforces Round #166 (Div. 2),8
271,272,Wizards and Numbers,Categories,Codeforces,Codeforces Round #114 (Div. 1) & Codeforces Round #114 (Div. 2),8
272,273,Martian Luck,Categories,Codeforces,Codeforces Round #133 (Div. 2),8
273,274,Building Forest,Categories,Codeforces,Codeforces Round #123 (Div. 2),8
274,275,Square Tiling,Categories,Codeforces,Codeforces Round #246 (Div. 2),8
275,276,Alyona and Triangles,Categories,Codeforces,Codeforces Round #358 (Div. 2),8
276,277,Jeff and Brackets,Categories,Codeforces,Codeforces Round #204 (Div. 1) & Codeforces Round #204 (Div. 2),8
277,278,Vladik and Entertaining Flags,Categories,Codeforces,Codeforces Round #416 (Div. 2),8
278,279,Interestring graph and Apples,Categories,Codeforces,Codeforces Beta Round #9 (Div. 2 Only),8
279,280,New Language,Categories,Codeforces,Codeforces Round #315 (Div. 1) & Codeforces Round #315 (Div. 2),8
280,281,Beautiful Set,Categories,Codeforces,Codeforces Round #213 (Div. 1) & Codeforces Round #213 (Div. 2),8
281,282,Timofey and remoduling,Categories,Codeforces,Codeforces Round #395 (Div. 1) & Codeforces Round #395 (Div. 2),8
282,283,Game,Categories,Codeforces,Codeforces Round #170 (Div. 1) & Codeforces Round #170 (Div. 2),8
283,284,Helping People,Categories,Codeforces,Codeforces Round #282 (Div. 1) & Codeforces Round #282 (Div. 2),8
284,285,Flag 2,Categories,Codeforces,Codeforces Beta Round #18 (Div. 2 Only),8
285,286,The Child and Polygon,Categories,Codeforces,Codeforces Round #250 (Div. 2) & Codeforces Round #250 (Div. 1),8
286,287,Quarrel,Categories,Codeforces,"Codeforces Beta Round #29 (Div. 2, Codeforces format)",8
287,288,Bear in the Field,Categories,Codeforces,Codeforces Round #226 (Div. 2),8
288,289,Petya and Post,Categories,Codeforces,Codeforces Beta Round #61 (Div. 2),8
289,290,Very simple problem,Categories,Codeforces,Codeforces Beta Round #51,8
290,291,Positions in Permutations,Categories,Codeforces,Codeforces Round #175 (Div. 2),8
291,292,Berland collider,Categories,Codeforces,Codeforces Beta Round #24,8
292,293,Periodical Numbers,Categories,Codeforces,Codeforces Round #132 (Div. 2),8
293,294,Hamming Distance,Categories,Codeforces,Codeforces Round #122 (Div. 1) & Codeforces Round #122 (Div. 2),8
294,295,Playing with String,Categories,Codeforces,Codeforces Round #184 (Div. 2),8
295,296,Shortest Path Problem?,Categories,Codeforces,Educational Codeforces Round 27,8
296,297,Mike and Friends,Categories,Codeforces,Codeforces Round #305 (Div. 1),8
297,298,Beads,Categories,Codeforces,Codeforces Beta Round #8,8
298,299,Common ancestor,Categories,Codeforces,Codeforces Beta Round #46 (Div. 2),8
299,300,Colorado Potato Beetle,Categories,Codeforces,Codeforces Round #150 (Div. 1) & Codeforces Round #150 (Div. 2),8
300,301,Petya and Pipes,Categories,Codeforces,Codeforces Round #212 (Div. 2),8
301,302,Vasya and Polynomial,Categories,Codeforces,Codeforces Round #281 (Div. 2),8
302,303,Palisection,Categories,Codeforces,Codeforces Beta Round #17,8
303,304,Ultimate Weirdness of an Array,Categories,Codeforces,Codeforces Round #352 (Div. 1) & Codeforces Round #352 (Div. 2),8
304,305,Chip Play,Categories,Codeforces,Codeforces Beta Round #74 (Div. 1 Only) & Codeforces Beta Round #74 (Div. 2 Only),8
305,306,Balance,Categories,Codeforces,Codeforces Round #188 (Div. 1) & Codeforces Round #188 (Div. 2),8
306,307,Memory and Casinos,Categories,Codeforces,Codeforces Round #370 (Div. 2),8
307,308,E-reader Display,Categories,Codeforces,Codeforces Beta Round #93 (Div. 1 Only) & Codeforces Beta Round #93 (Div. 2 Only),8
308,309,Three Swaps,Categories,Codeforces,Codeforces Round #197 (Div. 2),8
309,310,Competition,Categories,Codeforces,Codeforces Round #103 (Div. 2),8
310,311,Start of the session,Categories,Codeforces,Codeforces Beta Round #12 (Div 2 Only),8
311,312,Alex and Complicated Task,Categories,Codeforces,Codeforces Round #267 (Div. 2),8
312,313,Help Caretaker,Categories,Codeforces,Codeforces Round #102 (Div. 1) & Codeforces Round #102 (Div. 2),8
313,314,Vectors,Categories,Codeforces,Codeforces Beta Round #79 (Div. 1 Only) & Codeforces Beta Round #79 (Div. 2 Only),8
314,315,Misha and Palindrome Degree,Categories,Codeforces,Codeforces Round #285 (Div. 2) & Codeforces Round #285 (Div. 1),8
315,316,Tree,Categories,Codeforces,Codeforces Beta Round #23,8
316,317,Alphabet Permutations,Categories,Codeforces,Codeforces Round #337 (Div. 2),8
317,318,Anniversary,Categories,Codeforces,Codeforces Round #140 (Div. 1) & Codeforces Round #140 (Div. 2),8
318,319,Exam Cheating,Categories,Codeforces,Codeforces Round #408 (Div. 2),8
319,320,Superior Periodic Subarrays,Categories,Codeforces,Codeforces Round #323 (Div. 1) & Codeforces Round #323 (Div. 2),8
320,321,Smart Cheater,Categories,Codeforces,Codeforces Round #107 (Div. 1) & Codeforces Round #107 (Div. 2),8
321,322,Liar,Categories,Codeforces,Codeforces Round #422 (Div. 2),8
322,323,Defining Macros,Categories,Codeforces,Codeforces Beta Round #7,8
323,324,Shaass the Great,Categories,Codeforces,Codeforces Round #178 (Div. 2),8
324,325,Parking Lot,Categories,Codeforces,Codeforces Round #135 (Div. 2),8
325,326,Brackets,Categories,Codeforces,Codeforces Beta Round #92 (Div. 1 Only) & Codeforces Beta Round #92 (Div. 2 Only),8
326,327,Printer,Categories,Codeforces,Codeforces Round #154 (Div. 2),8
327,328,The penguin's game,Categories,Codeforces,Codeforces Round #427 (Div. 2),8
328,329,Strange Sorting,Categories,Codeforces,Codeforces Round #276 (Div. 1) & Codeforces Round #276 (Div. 2),8
329,330,Sweets Game,Categories,Codeforces,Codeforces Beta Round #59 (Div. 2),8
330,331,Dead Ends,Categories,Codeforces,Codeforces Beta Round #49 (Div. 2),8
331,332,Clearing Up,Categories,Codeforces,Codeforces Round #101 (Div. 2),8
332,333,More Queries to Array...,Categories,Codeforces,Codeforces Round #163 (Div. 2),8
333,334,Volcanoes,Categories,Codeforces,Codeforces Round #225 (Div. 1) & Codeforces Round #225 (Div. 2),8
334,335,Scheme,Categories,Codeforces,Codeforces Beta Round #22 (Div. 2 Only),8
335,336,Yaroslav and Algorithm,Categories,Codeforces,Codeforces Round #182 (Div. 1) & Codeforces Round #182 (Div. 2),8
336,337,Valera and Number,Categories,Codeforces,Codeforces Round #252 (Div. 2),9
337,338,Horse Races,Categories,Codeforces,Codeforces Beta Round #77 (Div. 1 Only) & Codeforces Beta Round #77 (Div. 2 Only),9
338,339,Cannon,Categories,Codeforces,Codeforces Beta Round #44 (Div. 2),9
339,340,Road to Home,Categories,Codeforces,Codeforces Round #374 (Div. 2),9
340,341,Dividing Kingdom,Categories,Codeforces,Codeforces Round #158 (Div. 2),9
341,342,Triangles,Categories,Codeforces,Codeforces Beta Round #15,9
342,343,Wilbur and Strings,Categories,Codeforces,Codeforces Round #331 (Div. 2),9
343,344,Power Defence,Categories,Codeforces,Codeforces Round #115,9
344,345,Berland Local Positioning System,Categories,Codeforces,Codeforces Round #298 (Div. 2),9
345,346,Multithreading,Categories,Codeforces,Codeforces Beta Round #26 (Codeforces format),9
346,347,Track,Categories,Codeforces,Codeforces Beta Round #72 (Div. 1 Only) & Codeforces Beta Round #72 (Div. 2 Only),9
347,348,Formurosa,Categories,Codeforces,Codeforces Round #134 (Div. 1) & Codeforces Round #134 (Div. 2),9
348,349,Chemistry Experiment,Categories,Codeforces,Codeforces Round #247 (Div. 2),9
349,350,Optimal Point,Categories,Codeforces,Codeforces Round #359 (Div. 1) & Codeforces Round #359 (Div. 2),9
350,351,Pentagon,Categories,Codeforces,Codeforces Beta Round #48,9
351,352,Ksenia and Combinatorics,Categories,Codeforces,Codeforces Round #224 (Div. 2),9
352,353,Ship's Shortest Path,Categories,Codeforces,Codeforces Beta Round #67 (Div. 2),9
353,354,Azembler,Categories,Codeforces,Codeforces Beta Round #76 (Div. 1 Only) & Codeforces Beta Round #76 (Div. 2 Only),9
354,355,Mike and code of a permutation,Categories,Codeforces,Codeforces Round #410 (Div. 2),9
355,356,Neatness,Categories,Codeforces,Codeforces Round #209 (Div. 2),9
356,357,Awards For Contestants,Categories,Codeforces,Educational Codeforces Round 30,9
357,358,Fetch the Treasure,Categories,Codeforces,Codeforces Round #185 (Div. 1) & Codeforces Round #185 (Div. 2),9
358,359,Piglet's Birthday,Categories,Codeforces,Codeforces Round #152 (Div. 2) & Codeforces Round #152 (Div. 1),9
359,360,Lucky Tickets,Categories,Codeforces,Codeforces Round #194 (Div. 1) & Codeforces Round #194 (Div. 2),9
360,361,Square Equation Roots,Categories,Codeforces,Codeforces Beta Round #47,9
361,362,Rhombus,Categories,Codeforces,Codeforces Round #161 (Div. 2),9
362,363,Transportation,Categories,Codeforces,Codeforces Round #128 (Div. 2),9
363,364,Morrowindows,Categories,Codeforces,Codeforces Beta Round #66,9
364,365,Race,Categories,Codeforces,Codeforces Beta Round #42 (Div. 2),9
365,366,Vasya and Shifts,Categories,Codeforces,Codeforces Round #425 (Div. 2),9
366,367,Dima and Kicks,Categories,Codeforces,Codeforces Round #208 (Div. 2),9
367,368,Strange Calculation and Cats,Categories,Codeforces,Codeforces Round #329 (Div. 2),9
368,369,Dasha and cyclic table,Categories,Codeforces,Codeforces Round #390 (Div. 2),9
369,370,Mr. Kitayuta vs. Bamboos,Categories,Codeforces,Codeforces Round #286 (Div. 2) & Codeforces Round #286 (Div. 1),9
370,371,Evacuation,Categories,Codeforces,Codeforces Beta Round #70 (Div. 2),9
371,372,Binary Key,Categories,Codeforces,Codeforces Round #193 (Div. 2),9
372,373,Trial for Chief,Categories,Codeforces,Codeforces Beta Round #37,9
373,374,Runaway to a Shadow,Categories,Codeforces,Codeforces Round #357 (Div. 2),9
374,375,Mushroom Gnomes,Categories,Codeforces,Codeforces Beta Round #56,9
375,376,Garden,Categories,Codeforces,Codeforces Round #108 (Div. 2),9
376,377,Yet Another Number Sequence,Categories,Codeforces,Codeforces Round #230 (Div. 1) & Codeforces Round #230 (Div. 2),9
377,378,Circling Round Treasures,Categories,Codeforces,Codeforces Round #221 (Div. 1) & Codeforces Round #221 (Div. 2),9
378,379,Nuclear Fusion,Categories,Codeforces,Codeforces Beta Round #65 (Div. 2),9
379,380,Special Graph,Categories,Codeforces,Codeforces Round #249 (Div. 2),9
380,381,Hide-and-Seek,Categories,Codeforces,"Codeforces Beta Round #32 (Div. 2, Codeforces format)",9
381,382,Tractor College,Categories,Codeforces,Codeforces Round #126 (Div. 2),9
382,383,Dormitory,Categories,Codeforces,Codeforces Round #155 (Div. 2),9
383,384,Ever-Hungry Krakozyabra,Categories,Codeforces,Codeforces Round #426 (Div. 1) & Codeforces Round #426 (Div. 2),9
384,385,Two Paths,Categories,Codeforces,Codeforces Beta Round #36,9
385,386,Black Widow,Categories,Codeforces,Codeforces Round #366 (Div. 1) & Codeforces Round #366 (Div. 2),9
386,387,Help Greg the Dwarf,Categories,Codeforces,Codeforces Beta Round #78 (Div. 1 Only) & Codeforces Beta Round #78 (Div. 2 Only),9
387,388,Roland and Rose,Categories,Codeforces,Codeforces Round #262 (Div. 2),9
388,389,Ivan the Fool VS Gorynych the Dragon,Categories,Codeforces,School Personal Contest #3 (Winter Computer School 2010/11) - Codeforces Beta Round #45 (ACM-ICPC Rules),9
389,390,Greedy Elevator,Categories,Codeforces,Codeforces Round #159 (Div. 2),9
390,391,The Last Hole!,Categories,Codeforces,Codeforces Round #168 (Div. 1) & Codeforces Round #168 (Div. 2),9
391,392,Inna and Large Sweet Matrix,Categories,Codeforces,Codeforces Round #229 (Div. 2),9
392,393,Policeman and a Tree,Categories,Codeforces,Codeforces Round #438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),9
393,394,Information Reform,Categories,Codeforces,Codeforces Beta Round #64,9
394,395,Sandy and Nuts,Categories,Codeforces,Codeforces Round #332 (Div. 2),9
395,396,Broken Tree,Categories,Codeforces,Codeforces Round #392 (Div. 2),9
396,397,Arrangement,Categories,Codeforces,Codeforces Beta Round #83 (Div. 1 Only) & Codeforces Beta Round #83 (Div. 2 Only),9
397,398,Delivering Carcinogen,Categories,Codeforces,Codeforces Round #125 (Div. 1) & Codeforces Round #125 (Div. 2),9
398,399,Tachibana Kanade's Tofu,Categories,Codeforces,Codeforces Round #248 (Div. 2) & Codeforces Round #248 (Div. 1),9
399,400,Choosing Carrot,Categories,Codeforces,"Tinkoff Challenge - Final Round (Codeforces Round #414, rated, Div. 1 + Div. 2)",9
400,401,Buses and People,Categories,Codeforces,Codeforces Round #111 (Div. 2),9
401,402,Tree and Array,Categories,Codeforces,Codeforces Round #233 (Div. 1) & Codeforces Round #233 (Div. 2),9
402,403,Colored Jenga,Categories,Codeforces,Codeforces Round #242 (Div. 2),10
403,404,Kojiro and Furrari,Categories,Codeforces,Codeforces Round #322 (Div. 2),10
404,405,Chess,Categories,Codeforces,Codeforces Beta Round #53,10
405,406,Vasily the Bear and Painting Square,Categories,Codeforces,Codeforces Round #195 (Div. 2),10
406,407,World Evil,Categories,Codeforces,Codeforces Beta Round #58,10
407,408,Design Tutorial: Learn from a Game,Categories,Codeforces,Codeforces Round #270,10
408,409,Contact,Categories,Codeforces,Codeforces Beta Round #62,10
409,410,MUH and Lots and Lots of Segments,Categories,Codeforces,Codeforces Round #269 (Div. 2),10
410,411,Lift and Throw,Categories,Codeforces,Codeforces Beta Round #81,10
411,412,Chain Reaction,Categories,Codeforces,Codeforces Round #349 (Div. 1) & Codeforces Round #349 (Div. 2),10
412,413,Security System,Categories,Codeforces,Codeforces Beta Round #71,10
413,414,DZY Loves Bridges,Categories,Codeforces,Codeforces Round #255 (Div. 1),10
414,415,Alternative Reality,Categories,Codeforces,Codeforces Beta Round #90,10
415,416,Clever Fat Rat,Categories,Codeforces,Codeforces Round #118 (Div. 1) & Codeforces Round #118 (Div. 2),10
416,417,Lightbulb for Minister,Categories,Codeforces,Codeforces Round #231 (Div. 2),10
417,418,Helper,Categories,Codeforces,Codeforces Beta Round #33 (Codeforces format),10
418,419,Summer Reading,Categories,Codeforces,Codeforces Round #217 (Div. 2),10
419,420,Olympic Games,Categories,Codeforces,Codeforces Round #235 (Div. 2),10
420,421,Mister B and Beacons on Field,Categories,Codeforces,Codeforces Round #421 (Div. 1) & Codeforces Round #421 (Div. 2),10
421,422,Wavy numbers,Categories,Codeforces,Codeforces Round #273 (Div. 2),10
422,423,Lucky Interval,Categories,Codeforces,Codeforces Beta Round #84 (Div. 1 Only),10
423,424,DravDe saves the world,Categories,Codeforces,Codeforces Beta Round #28 (Codeforces format),10
424,425,Baldman and the military,Categories,Codeforces,Codeforces Beta Round #41,10
425,426,Harry Potter and Moving Staircases,Categories,Codeforces,Codeforces Beta Round #60,10
426,427,BCPC,Categories,Codeforces,Codeforces Round #328 (Div. 2),10
427,428,Vacuum ?leaner,Categories,Codeforces,Codeforces Beta Round #50,10
428,429,To Hack or not to Hack,Categories,Codeforces,"CROC 2016 - Final Round [Private, For Onsite Finalists Only]",10
429,430,Tree or not Tree,Categories,Codeforces,Codeforces Beta Round #88,10
430,431,Two Circles,Categories,Codeforces,Codeforces Round #211 (Div. 2),10
431,432,Inna and Babies,Categories,Codeforces,Codeforces Round #220 (Div. 2),10
432,433,Frog Fights,Categories,Codeforces,Codeforces Round #342 (Div. 2),10
433,434,Expression,Categories,Codeforces,Codeforces Beta Round #54 (Div. 2),10
434,435,Doe Graphs,Categories,Codeforces,Codeforces Round #144 (Div. 1) & Codeforces Round #144 (Div. 2),10
435,436,"Forward, march!",Categories,Codeforces,Codeforces Beta Round #11,10
436,437,Shift It!,Categories,Codeforces,Codeforces Beta Round #68,10
